TradeID,Side,TimeUpdated,TradeStatus,Product,Qty,Price,Firm,Entitlement
1000,B,2016-02-07,Completed,Oyope,211,839,Voonte,3
1001,B,2016-01-27,InCompleted,Zooxo,131,557,Buzzster,2
1002,B,2016-06-28,Completed,Buzzster,58,1133,Quinu,2
1003,B,2015-12-23,Completed,Yakitri,122,786,Divape,3
1004,B,2016-07-08,Completed,Yacero,343,664,Yabox,3
1005,S,2016-01-01,InCompleted,Youbridge,52,869,Mita,2
1006,S,2016-03-27,InCompleted,Tagcat,283,1180,Lazz,3
1007,B,2016-08-08,InCompleted,Rooxo,400,96,Twinte,3
1008,B,2016-03-21,Completed,Zoomzone,82,1097,Skiptube,2
1009,S,2015-11-22,Completed,Jabbersphere,179,1256,Feedfish,2
1010,B,2016-08-17,Completed,Vinte,239,1279,Divanoodle,3
1011,B,2015-08-31,Completed,Skippad,441,1530,Linklinks,2
1012,B,2015-11-14,InCompleted,Skaboo,262,304,Wordify,3
1013,S,2016-02-20,Completed,Kwinu,267,1152,Livepath,3
1014,B,2015-10-06,InCompleted,Linklinks,367,973,Dynabox,2
1015,S,2016-03-12,InCompleted,Centidel,101,900,Browsezoom,3
1016,S,2016-04-25,InCompleted,Twinder,55,103,Fliptune,2
1017,S,2016-05-20,Completed,Tanoodle,233,318,Skajo,1
1018,S,2015-11-05,InCompleted,Camido,463,175,Edgewire,3
1019,B,2016-08-25,InCompleted,Zoonder,123,894,Eare,2
1020,B,2015-12-15,Completed,Thoughtsphere,221,411,Jatri,3
1021,S,2016-02-12,InCompleted,Divanoodle,275,1041,Fanoodle,2
1022,B,2016-08-26,InCompleted,Youspan,440,590,Dabshots,3
1023,S,2015-09-08,InCompleted,Wikibox,190,1111,Thoughtmix,3
1024,B,2016-04-08,InCompleted,Browsezoom,3,1236,Thoughtbeat,3
1025,B,2016-06-10,InCompleted,Leexo,371,1232,Divavu,2
1026,S,2016-05-18,Completed,Wordtune,466,1230,Roodel,1
1027,B,2016-07-11,Completed,Eazzy,298,637,Teklist,3
1028,B,2016-06-23,InCompleted,Pixoboo,420,501,Youtags,2
1029,B,2016-03-15,Completed,Yodel,51,1092,Skiptube,1
1030,S,2015-11-27,InCompleted,Edgeblab,169,1519,Buzzdog,1
1031,B,2016-03-19,Completed,Gabcube,213,1251,Skipfire,3
1032,B,2016-05-04,Completed,Jetpulse,303,987,Fatz,1
1033,B,2016-05-29,Completed,Vinte,327,203,Ainyx,1
1034,S,2016-05-01,Completed,Feedbug,451,166,Jaxspan,1
1035,B,2016-07-15,InCompleted,Trunyx,282,1550,Devshare,2
1036,S,2016-02-16,Completed,Abatz,14,974,Thoughtblab,3
1037,S,2016-04-09,Completed,Fatz,471,824,Cogidoo,2
1038,S,2016-07-24,InCompleted,Wikido,489,582,Tagtune,3
1039,S,2016-03-27,InCompleted,Tagtune,243,923,Skidoo,2
1040,B,2016-06-10,InCompleted,Wordtune,427,751,Bluezoom,3
1041,B,2016-02-24,Completed,Gigabox,45,324,Aimbo,2
1042,S,2016-04-15,InCompleted,Devify,307,495,Mycat,3
1043,S,2016-02-29,Completed,Oyoyo,98,1478,Jaxbean,1
1044,B,2016-06-25,Completed,Wordware,151,223,Oyonder,3
1045,B,2016-07-20,InCompleted,Kwimbee,92,1272,Flipbug,3
